player,EScore,EType,PlayStyle,SessionVariance,RecentActivityRatio,Loyalty,UserValue,EScoreRank
1002810,40.27,Core,Balance,24.95,0.42,21.28,Low,795
1002846,40.24,Core,Balance,46.68,0.50,30.97,Medium,796
1002940,40.21,Core,Balance,65.34,0.63,47.11,High,797
1002641,40.20,Core,Balance,57.29,0.60,38.73,Medium,798
1002572,40.19,Core,Balance,37.23,0.50,33.89,Medium,799
1002398,40.14,Core,Balance,30.71,0.60,28.91,Medium,800
1002008,40.06,Core,Burst,30.47,0.54,16.85,Low,801
1002978,40.01,Core,Balance,35.99,0.40,31.55,Medium,802
1002887,40.00,Core,Burst,21.97,0.55,17.40,Low,803
1002853,39.96,Core,Balance,25.27,0.50,21.78,Low,804
1002734,39.96,Core,Burst,11.97,0.45,17.85,Low,805
1002945,39.96,Core,Balance,42.5,0.57,43.22,Medium,806
1002192,39.94,Core,Burst,23.06,0.50,18.11,Low,807
1002596,39.92,Core,Burst,29.61,0.53,16.38,Low,808
1002109,39.87,Core,Balance,36.09,0.50,21.62,Low,809
1002758,39.69,Core,Balance,21.47,0.42,19.22,Low,810
1002856,39.65,Core,Balance,33.01,0.47,19.46,Low,811
1002834,39.55,Casual,Balance,35.48,0.33,22.80,Low,812
1002730,39.54,Casual,Balance,59.47,0.60,33.33,Medium,813
1002126,39.51,Casual,Balance,61.56,0.57,44.32,Medium,814
1002588,39.51,Casual,Balance,72.78,0.43,46.79,High,814
1002083,39.47,Casual,Burst,20.89,0.45,19.15,Low,816
1002995,39.39,Casual,Balance,33.21,0.58,27.73,Low,817
1002951,39.38,Casual,Balance,49.55,0.67,45.78,High,818
1002948,39.38,Casual,Balance,39.41,0.50,21.98,Low,819
1002689,39.37,Casual,Balance,36.09,0.56,32.81,Medium,820
1002602,39.34,Casual,Balance,35.74,0.43,26.66,Low,821
1002495,39.34,Casual,Balance,40.64,0.60,28.92,Medium,822
1002417,39.33,Casual,Balance,50.72,0.60,51.03,High,823
1002879,39.33,Casual,Balance,28.24,0.53,18.52,Low,824
1002746,39.27,Casual,Balance,53.87,0.50,46.03,High,825
1002950,39.12,Casual,Balance,50.15,0.40,28.73,Low,826
1002535,39.10,Casual,Balance,62.1,0.50,46.35,High,827
1002241,39.06,Casual,Balance,41.54,0.50,49.16,High,828
1002078,39.04,Casual,Balance,24.23,0.50,28.93,Medium,829
1002922,38.96,Casual,Balance,32.49,0.53,27.64,Low,830
1002212,38.93,Casual,Balance,59.77,0.67,43.25,Medium,831
1002397,38.91,Casual,Balance,73.42,0.57,37.11,Medium,832
1002703,38.86,Casual,Balance,35.37,0.43,21.46,Low,833
1002576,38.84,Casual,Balance,34.27,0.57,20.71,Low,834
1002387,38.84,Casual,Balance,32.67,0.43,28.74,Low,835
1002657,38.82,Casual,Balance,45.22,0.50,41.28,Medium,836
1002235,38.81,Casual,Balance,51.94,0.56,54.47,High,837
1002809,38.79,Casual,Balance,31.6,0.47,23.02,Low,838
1002578,38.73,Casual,Balance,35.32,0.29,23.65,Low,839
1002685,38.71,Casual,Balance,18.02,0.67,29.58,Medium,840
1002997,38.68,Casual,Burst,18.09,0.54,16.78,Low,841
1002954,38.63,Casual,Balance,31.89,0.47,28.49,Low,842
1002715,38.53,Casual,Balance,58.14,0.71,40.70,Medium,843
1002939,38.45,Casual,Balance,25.83,0.40,20.53,Low,844
1002400,38.44,Casual,Balance,37.29,0.40,43.89,Medium,845
1002133,38.43,Casual,Balance,53.55,0.50,31.43,Medium,846
1002542,38.38,Casual,Balance,24.93,0.64,23.85,Low,847
1002648,38.34,Casual,Balance,20.71,0.41,23.99,Low,848
1002893,38.32,Casual,Balance,22.86,0.36,20.89,Low,849
1002014,38.30,Casual,Balance,37.02,0.56,27.32,Low,850
1002585,38.26,Casual,Balance,36.08,0.50,19.90,Low,851
1002139,38.23,Casual,Balance,32.88,0.42,19.82,Low,852
1002898,38.22,Casual,Balance,47.68,0.50,48.25,High,853
1002368,38.18,Casual,Balance,68.33,0.60,39.07,Medium,854
1002529,38.10,Casual,Balance,60.77,0.67,39.28,Medium,855
1002468,38.08,Casual,Burst,19.09,0.46,17.08,Low,856
1002924,38.06,Casual,Balance,22.56,0.44,17.14,Low,857
1002819,38.05,Casual,Balance,51.62,0.67,41.71,Medium,858
1002776,38.01,Casual,Balance,32.04,0.50,25.30,Low,859
1002843,38.00,Casual,Balance,41.27,0.50,30.13,Medium,860
1002004,37.96,Casual,Balance,16.35,0.50,15.42,Low,861
1002794,37.89,Casual,Burst,22.08,0.55,18.96,Low,862
1002518,37.87,Casual,Balance,11.38,0.55,20.14,Low,863
1002770,37.85,Casual,Balance,42.69,0.67,48.57,High,864
1002486,37.82,Casual,Balance,48.08,0.56,28.94,Medium,865
1002949,37.82,Casual,Balance,59.08,0.50,40.43,Medium,866
1002049,37.75,Casual,Burst,13.89,0.55,17.79,Low,867
1002801,37.73,Casual,Balance,51.85,0.67,38.37,Medium,868
1002825,37.67,Casual,Balance,28.05,0.56,16.80,Low,869
1002844,37.67,Casual,Balance,23.53,0.56,17.80,Low,869
1002979,37.64,Casual,Balance,56.73,0.60,38.42,Medium,871
1002783,37.62,Casual,Balance,33.4,0.47,21.12,Low,872
1002993,37.58,Casual,Balance,44.58,0.50,39.57,Medium,873
1002254,37.56,Casual,Balance,45.04,0.71,44.15,Medium,874
1002692,37.32,Casual,Balance,44.22,0.50,39.62,Medium,875
1002591,37.30,Casual,Balance,40.9,0.67,29.39,Medium,876
